id,short+AF8-code,name,description,sub+AF8-type,entity+AF8-type+AF8-id,schematic+AF8-type+AF8-id,from+AF8-node,to+AF8-node,hydrologic+AF8-region+AF8-id,shape+AF8-length+AF8-meters,has+AF8-gis+AF8-data,naming+AF8-convention,naming+AF8-prefix,has+AF8-tiers,is+AF8-main+AF8-channel,entity+AF8-id,created+AF8-by,updated+AF8-by
3,C+AF8-ABN000,East Side Canal/Natomas Cross Canal,,Canal,2,1,ABN000,CRC002,1,7420.28975526427,True,Auburn Ravine,ABN,,,,1,
4,C+AF8-ABN006,Auburn Ravine,,Stream,2,1,ABN006,ABN000,1,10441.5893756618,True,Auburn Ravine,ABN,,,,1,
5,C+AF8-ABN010,Auburn Ravine,,Stream,2,1,ABN010,ABN006,1,6270.99051383392,True,Auburn Ravine,ABN,,,,1,
6,C+AF8-ABN014,Auburn Ravine,,Stream,2,1,ABN014,ABN010,1,5814.27280242971,True,Auburn Ravine,ABN,,,,1,
7,C+AF8-ABN024,Auburn Ravine,,Stream,2,1,ABN024,ABN014,1,15301.284302082,True,Auburn Ravine,ABN,,,,1,
8,C+AF8-ABN026,Auburn Ravine,,Stream,2,1,ABN026,ABN024,1,3938.29676441623,True,Auburn Ravine,ABN,,,,1,
9,C+AF8-ABN027,Auburn Ravine,,Stream,2,1,ABN027,ABN026,1,1685.94113250432,True,Auburn Ravine,ABN,,,,1,
10,C+AF8-ABT002,Auburn Tunnel,,Canal,2,1,ABT002,ABN026,1,1544.2306088929,True,Auburn Tunnel,ABT,,,,1,
11,C+AF8-ACP001,Alder Creek Pipeline,,Canal,2,1,ACP001,EDC004,1,37.3713920013762,True,,,,,,1,
12,C+AF8-ALD001,Alder Creek,,Stream,2,1,ALD001,SFA063,1,1435.22870456851,True,,,,,,1,
13,C+AF8-ALD002,Alder Creek,,Stream,2,1,ALD002,ALD001,1,296.76662989439,True,,,,,,1,
14,C+AF8-ALD004,Alder Creek,,Stream,2,1,ALD004,ALD002,1,4469.78550440921,True,,,,,,1,
15,C+AF8-ALDER,,,,2,1,,,1,,False,,,,,,1,
16,C+AF8-ALMNR,North Fork Feather River,,Stream,2,1,ALMNR,NFF069,1,15809.8311823358,True,,,,,,1,
17,C+AF8-ALOHA,Pyramid Creek,,Stream,2,1,ALOHA,PYR001,1,6035.73985119051,True,,,,,,1,
18,C+AF8-ALPNE,,,,2,1,,,1,,False,,,,,,1,
19,C+AF8-AMADR,Jackson Creek,,Stream,2,1,AMADR,DSC026,2,13812.3653644228,True,,,,,,1,
20,C+AF8-AMR004,American River,,Stream,2,1,AMR004,SAC063,1,6437.37601583722,True,American River,AMR,,,,1,
21,C+AF8-AMR006,American River,,Stream,2,1,AMR006,AMR004,1,4063.38582780649,True,American River,AMR,,,,1,
22,C+AF8-AMR007,American River,,Stream,2,1,AMR007,AMR006,1,1222.80349061754,True,American River,AMR,,,,1,
23,C+AF8-AMR009,American River,,Stream,2,1,AMR009,AMR007,1,2786.21739605386,True,American River,AMR,,,,1,
24,C+AF8-AMR015,American River,,Stream,2,1,AMR015,AMR009,1,9656.1122833388,True,American River,AMR,,,,1,
25,C+AF8-AMR017,American River,,Stream,2,1,AMR017,AMR015,1,2535.01378427396,True,American River,AMR,,,,1,
26,C+AF8-AMR020,American River,,Stream,2,1,AMR020,AMR017,1,5511.65792080827,True,American River,AMR,,,,1,
27,C+AF8-AMR022,American River,,Stream,2,1,AMR022,AMR020,1,3338.88754337679,True,American River,AMR,,,,1,
28,C+AF8-ANC000,,,,2,1,,,1,,False,,,,,,1,
29,C+AF8-ANG010,Angels Creek,,,2,1,,,1,,False,Angels Creek,ANG,,,,1,
30,C+AF8-ANG014,Angels Creek,,Stream,2,1,ANG014,STS072,2,23008.2953298029,True,Angels Creek,ANG,,,,1,
31,C+AF8-ANG015,Angels Creek,,Stream,2,1,ANG015,ANG014,2,488.553304748775,True,Angels Creek,ANG,,,,1,
32,C+AF8-ANG017,Angels  Creek,,Stream,2,1,ANG017,ANG015,2,4568.73066044978,True,Angels Creek,ANG,,,,1,
33,C+AF8-ANT010,Antelope Creek,,Stream,2,1,ANT010,SAC232,1,16093.4399715797,True,Antelope Creek,ANT,,,,1,
34,C+AF8-ANT011,Antelope Creek,,Stream,2,1,ANT011,ANT010,1,2259.63860313049,True,Antelope Creek,ANT,,,,1,
35,C+AF8-ANTLP,Indian Creek,,Stream,2,1,ANTLP,EBF018,1,64082.2410850444,True,,,,,,1,
36,C+AF8-ASL013,Ash Slough,,Stream,2,1,ASL013,EBP022,2,20663.2532240635,True,,,,,,1,
37,C+AF8-BANOS,Los Banos Creek,,Stream,2,1,BANOS,LBN025,2,6368.33109527096,True,,,,,,1,
38,C+AF8-BCC004,Big Chico Creek,,Stream,2,1,BCC004,SAC196,1,6437.37603144149,True,Big Chico Creek,BCC,,,,1,
39,C+AF8-BCC006,Big Chico Creek,,Stream,2,1,BCC006,BCC004,1,3218.68798167176,True,Big Chico Creek,BCC,,,,1,
40,C+AF8-BCC012,Big Chico Creek,,Stream,2,1,BCC012,BCC006,1,9656.0640280873,True,Big Chico Creek,BCC,,,,1,
41,C+AF8-BCC014,Big Chico Creek,,Stream,2,1,BCC014,BCC012,1,2749.14218216063,True,Big Chico Creek,BCC,,,,1,
42,C+AF8-BCK006,Bear Creek,,Stream,2,1,BCK006,EBP048,2,9656.08334951595,True,Bear Creek,BCK,,,,1,
43,C+AF8-BCK010,Bear Creek,,Stream,2,1,BCK010,BCK006,2,6437.38887249026,True,Bear Creek,BCK,,,,1,
44,C+AF8-BCK017,Bear Creek,,Stream,2,1,BCK017,BCK010,2,11265.4304687753,True,Bear Creek,BCK,,,,1,
45,C+AF8-BCK024,Bear Creek,,Stream,2,1,BCK024,BCK017,2,11265.4305578534,True,Bear Creek,BCK,,,,1,
46,C+AF8-BCK031,Bear Creek,,Stream,2,1,BCK031,BCK024,2,11265.4304733647,True,Bear Creek,BCK,,,,1,
47,C+AF8-BCK033,Bear Creek,,Stream,2,1,BCK033,BCK031,2,3844.97112821405,True,Bear Creek,BCK,,,,1,
48,C+AF8-BCK035,Bear Creek,,Stream,2,1,BCK035,BCK033,2,2592.41776276704,True,Bear Creek,BCK,,,,1,
49,C+AF8-BCK040,Bear Creek,,Stream,2,1,BCK040,BCK035,2,8299.41739073684,True,Bear Creek,BCK,,,,1,
50,C+AF8-BCM003,Bear Creek (Mokelumne),,Stream,2,1,BCM003,MFM008,2,4305.86073459881,True,,,,,,1,
51,C+AF8-BCN005,Bear Creek (North),,Stream,2,1,BCN005,SAC275,1,8046.73608660723,True,Bear Creek (North),BCN,,,,1,
