id,calsim+AF8-id,name,description,channel+AF8-entity+AF8-id,variable+AF8-purpose,flow+AF8-type,unit+AF8-id,temporal+AF8-scale+AF8-id,variable+AF8-version+AF8-id,is+AF8-regulatory,regulatory+AF8-authority,outcome+AF8-category+AF8-short+AF8-code,variable+AF8-id,created+AF8-by,updated+AF8-by
3,C+AF8-ABN000,East Side Canal/Natomas Cross Canal,,3,scenario+AF8-flow,main+AF8-channel,2,3,1,false,,reservoir+AF8-operations,,1,1
4,C+AF8-ABN006,Auburn Ravine,,4,scenario+AF8-flow,main+AF8-channel,2,3,1,false,,reservoir+AF8-operations,,1,1
5,C+AF8-ABN010,Auburn Ravine,,5,scenario+AF8-flow,main+AF8-channel,2,3,1,false,,reservoir+AF8-operations,,1,1
6,C+AF8-ABN014,Auburn Ravine,,6,scenario+AF8-flow,main+AF8-channel,2,3,1,false,,reservoir+AF8-operations,,1,1
7,C+AF8-ABN024,Auburn Ravine,,7,scenario+AF8-flow,main+AF8-channel,2,3,1,false,,reservoir+AF8-operations,,1,1
8,C+AF8-ABN026,Auburn Ravine,,8,scenario+AF8-flow,main+AF8-channel,2,3,1,false,,reservoir+AF8-operations,,1,1
9,C+AF8-ABN027,Auburn Ravine,,9,scenario+AF8-flow,main+AF8-channel,2,3,1,false,,reservoir+AF8-operations,,1,1
10,C+AF8-ABT002,Auburn Tunnel,,10,scenario+AF8-flow,main+AF8-channel,2,3,1,false,,reservoir+AF8-operations,,1,1
11,C+AF8-ACP001,Alder Creek Pipeline,,11,scenario+AF8-flow,main+AF8-channel,2,3,1,false,,reservoir+AF8-operations,,1,1
12,C+AF8-ALD001,Alder Creek,,12,scenario+AF8-flow,main+AF8-channel,2,3,1,false,,reservoir+AF8-operations,,1,1
13,C+AF8-ALD002,Alder Creek,,13,scenario+AF8-flow,main+AF8-channel,2,3,1,false,,reservoir+AF8-operations,,1,1
14,C+AF8-ALD004,Alder Creek,,14,scenario+AF8-flow,main+AF8-channel,2,3,1,false,,reservoir+AF8-operations,,1,1
15,C+AF8-ALDER,,,15,scenario+AF8-flow,main+AF8-channel,2,3,1,false,,reservoir+AF8-operations,,1,1
16,C+AF8-ALMNR,North Fork Feather River,,16,scenario+AF8-flow,main+AF8-channel,2,3,1,false,,reservoir+AF8-operations,,1,1
17,C+AF8-ALOHA,Pyramid Creek,,17,scenario+AF8-flow,main+AF8-channel,2,3,1,false,,reservoir+AF8-operations,,1,1
18,C+AF8-ALPNE,,,18,scenario+AF8-flow,main+AF8-channel,2,3,1,false,,reservoir+AF8-operations,,1,1
19,C+AF8-AMADR,Jackson Creek,,19,scenario+AF8-flow,main+AF8-channel,2,3,1,false,,reservoir+AF8-operations,,1,1
20,C+AF8-AMR004,American River,,20,scenario+AF8-flow,main+AF8-channel,2,3,1,false,,reservoir+AF8-operations,,1,1
21,C+AF8-AMR006,American River,,21,scenario+AF8-flow,main+AF8-channel,2,3,1,false,,reservoir+AF8-operations,,1,1
22,C+AF8-AMR007,American River,,22,scenario+AF8-flow,main+AF8-channel,2,3,1,false,,reservoir+AF8-operations,,1,1
23,C+AF8-AMR009,American River,,23,scenario+AF8-flow,main+AF8-channel,2,3,1,false,,reservoir+AF8-operations,,1,1
24,C+AF8-AMR015,American River,,24,scenario+AF8-flow,main+AF8-channel,2,3,1,false,,reservoir+AF8-operations,,1,1
25,C+AF8-AMR017,American River,,25,scenario+AF8-flow,main+AF8-channel,2,3,1,false,,reservoir+AF8-operations,,1,1
26,C+AF8-AMR020,American River,,26,scenario+AF8-flow,main+AF8-channel,2,3,1,false,,reservoir+AF8-operations,,1,1
