entity_id,source_id,notes,created_by,updated_by
08dc1a74-735c-4744-ac3d-440c2be693bf,1,Reservoir entity ALMNR from CalSim documentation,1,
08dc1a74-735c-4744-ac3d-440c2be693bf,4,Physical characteristics and capacity estimates for ALMNR,1,
dd10eacb-ea4d-4bfa-a267-ce1b66477885,1,Reservoir entity ALOHA from CalSim documentation,1,
dd10eacb-ea4d-4bfa-a267-ce1b66477885,4,Physical characteristics and capacity estimates for ALOHA,1,
2d042c2b-3e10-42b6-a705-f2dbe15d16ca,1,Reservoir entity ALPNE from CalSim documentation,1,
2d042c2b-3e10-42b6-a705-f2dbe15d16ca,4,Physical characteristics and capacity estimates for ALPNE,1,
2301c176-f6f8-4453-85c3-31972175c0f3,1,Reservoir entity AMADR from CalSim documentation,1,
2301c176-f6f8-4453-85c3-31972175c0f3,4,Physical characteristics and capacity estimates for AMADR,1,
76ce248a-d2b3-47f7-bb7a-c6782e97495e,1,Reservoir entity ANTLP from CalSim documentation,1,
76ce248a-d2b3-47f7-bb7a-c6782e97495e,4,Physical characteristics and capacity estimates for ANTLP,1,
331c3ad9-f0db-4b64-b9be-5b7f63b00d0e,1,Reservoir entity BEARD from CalSim documentation,1,
331c3ad9-f0db-4b64-b9be-5b7f63b00d0e,4,Physical characteristics and capacity estimates for BEARD,1,
6b671451-f600-4407-8e3c-c750d1013468,1,Reservoir entity BLKBT from CalSim documentation,1,
6b671451-f600-4407-8e3c-c750d1013468,4,Physical characteristics and capacity estimates for BLKBT,1,
6b671451-f600-4407-8e3c-c750d1013468,2,Operational analysis for major reservoir BLKBT,1,
3174a6d7-4938-4892-9468-b33677ee348b,1,Reservoir entity BLUMD from CalSim documentation,1,
3174a6d7-4938-4892-9468-b33677ee348b,4,Physical characteristics and capacity estimates for BLUMD,1,
beed250f-e837-4f06-a887-925141bfa18b,1,Reservoir entity BOWMN from CalSim documentation,1,
beed250f-e837-4f06-a887-925141bfa18b,4,Physical characteristics and capacity estimates for BOWMN,1,
e36087e5-237b-4c42-b71e-c53e87770508,1,Reservoir entity BRYSA from CalSim documentation,1,
e36087e5-237b-4c42-b71e-c53e87770508,4,Physical characteristics and capacity estimates for BRYSA,1,
e36087e5-237b-4c42-b71e-c53e87770508,2,Operational analysis for major reservoir BRYSA,1,
a99a09a7-6b3c-4cb2-be98-f24365a20f35,1,Reservoir entity BTVLY from CalSim documentation,1,
a99a09a7-6b3c-4cb2-be98-f24365a20f35,4,Physical characteristics and capacity estimates for BTVLY,1,
5a7b37e1-94c2-472c-925f-809b42a58e45,1,Reservoir entity BUCKS from CalSim documentation,1,
5a7b37e1-94c2-472c-925f-809b42a58e45,4,Physical characteristics and capacity estimates for BUCKS,1,
d5271f23-2306-42f4-8a88-b319320a4e51,1,Reservoir entity CAPLS from CalSim documentation,1,
d5271f23-2306-42f4-8a88-b319320a4e51,4,Physical characteristics and capacity estimates for CAPLS,1,
6d6248ec-0e4f-4dd4-98e0-f44f488b1a6b,1,Reservoir entity CLRLK from CalSim documentation,1,
6d6248ec-0e4f-4dd4-98e0-f44f488b1a6b,4,Physical characteristics and capacity estimates for CLRLK,1,
ced5e5e3-200c-4a13-9083-0787d3dc558b,1,Reservoir entity CMBIE from CalSim documentation,1,
ced5e5e3-200c-4a13-9083-0787d3dc558b,4,Physical characteristics and capacity estimates for CMBIE,1,
da2f0bcf-01bb-41e4-bb7f-3a89a121ce8d,1,Reservoir entity CMCHE from CalSim documentation,1,
da2f0bcf-01bb-41e4-bb7f-3a89a121ce8d,4,Physical characteristics and capacity estimates for CMCHE,1,
da2f0bcf-01bb-41e4-bb7f-3a89a121ce8d,2,Operational analysis for major reservoir CMCHE,1,
1f56ec14-1b15-4d1f-86d2-986cc4437fca,1,Reservoir entity CMPFW from CalSim documentation,1,
1f56ec14-1b15-4d1f-86d2-986cc4437fca,4,Physical characteristics and capacity estimates for CMPFW,1,
28d8e19d-4390-4b68-b0bb-940f6415ad92,1,Reservoir entity DAVIS from CalSim documentation,1,
