id,calsim+AF8-id,name,description,reservoir+AF8-entity+AF8-id,primary+AF8-entity+AF8-short+AF8-code,variable+AF8-type,storage+AF8-zone+AF8-type,operational+AF8-purpose,is+AF8-aggregate,aggregated+AF8-entities,trigger+AF8-threshold,outcome+AF8-category+AF8-short+AF8-code,unit+AF8-id,temporal+AF8-scale+AF8-id,variable+AF8-version+AF8-id,created+AF8-by,updated+AF8-by
2,S+AF8-ALMNR,Almanor Reservoir Storage,Lake Almanor storage,1,ALMNR,storage,,power+AF8-generation,false,,,reservoir+AF8-storage,1,3,1,1,
3,S+AF8-ALOHA,Aloha Reservoir Storage,Aloha Lake storage,2,ALOHA,storage,,water+AF8-supply,false,,,reservoir+AF8-storage,1,3,1,1,
4,S+AF8-ALPNE,Alpine Reservoir Storage,Alpine Lake storage,3,ALPNE,storage,,water+AF8-supply,false,,,reservoir+AF8-storage,1,3,1,1,
5,S+AF8-AMADR,Amador Reservoir Storage,Amador Lake storage,4,AMADR,storage,,water+AF8-supply,false,,,reservoir+AF8-storage,1,3,1,1,
6,S+AF8-ANTLP,Antelope Reservoir Storage,Antelope Lake storage,5,ANTLP,storage,,water+AF8-supply,false,,,reservoir+AF8-storage,1,3,1,1,
7,S+AF8-BEARD,Beardsley Reservoir Storage,Beardsley Lake storage,6,BEARD,storage,,power+AF8-generation,false,,,reservoir+AF8-storage,1,3,1,1,
8,S+AF8-BLKBT,Black Butte Reservoir Storage,Black Butte Lake storage,7,BLKBT,storage,,flood+AF8-control,false,,,reservoir+AF8-storage,1,3,1,1,
9,S+AF8-BLUMD,Blue Lakes Storage,Upper and Lower Blue Twin Meadow storage,8,BLUMD,storage,,water+AF8-supply,false,,,reservoir+AF8-storage,1,3,1,1,
10,S+AF8-BOWMN,Bowman Reservoir Storage,Bowman Lake storage,9,BOWMN,storage,,water+AF8-supply,false,,,reservoir+AF8-storage,1,3,1,1,
11,S+AF8-BRYSA,Berryessa Reservoir Storage,Lake Berryessa storage,10,BRYSA,storage,,water+AF8-supply,false,,,reservoir+AF8-storage,1,3,1,1,
12,S+AF8-BTVLY,Butt Valley Reservoir Storage,Butt Valley Reservoir storage,11,BTVLY,storage,,power+AF8-generation,false,,,reservoir+AF8-storage,1,3,1,1,
13,S+AF8-BUCKS,Bucks Lake Storage,Bucks Lake storage,12,BUCKS,storage,,power+AF8-generation,false,,,reservoir+AF8-storage,1,3,1,1,
14,S+AF8-CAPLS,Caples Lake Storage,Caples Lake storage,13,CAPLS,storage,,power+AF8-generation,false,,,reservoir+AF8-storage,1,3,1,1,
15,S+AF8-CLRLK,Clear Lake Storage,Clear Lake storage,14,CLRLK,storage,,water+AF8-supply,false,,,reservoir+AF8-storage,1,3,1,1,
16,S+AF8-CMBIE,Combie Reservoir Storage,Combie Lake storage,15,CMBIE,storage,,water+AF8-supply,false,,,reservoir+AF8-storage,1,3,1,1,
17,S+AF8-CMCHE,Camanche Reservoir Storage,Camanche Lake storage,16,CMCHE,storage,,water+AF8-supply,false,,,reservoir+AF8-storage,1,3,1,1,
18,S+AF8-CMPFW,Camp Far West Storage,Camp Far West Reservoir storage,17,CMPFW,storage,,water+AF8-supply,false,,,reservoir+AF8-storage,1,3,1,1,
19,S+AF8-CSTIC,Castaic Lake Storage,Castaic Lake storage,85,CSTIC,storage,,water+AF8-supply,false,,,reservoir+AF8-storage,1,3,1,1,
20,S+AF8-DAVIS,Davis Reservoir Storage,Davis Reservoir storage,18,DAVIS,storage,,water+AF8-supply,false,,,reservoir+AF8-storage,1,3,1,1,
21,S+AF8-DELVE,Del Valle Storage,Del Valle Reservoir storage,86,DELVE,storage,,water+AF8-supply,false,,,reservoir+AF8-storage,1,3,1,1,
22,S+AF8-DONLL,Donnell Reservoir Storage,Donnell Lake storage,19,DONLL,storage,,power+AF8-generation,false,,,reservoir+AF8-storage,1,3,1,1,
23,S+AF8-EBTML,EBMUD Terminal Storage,EBMUD terminal reservoirs storage,21,EBTML,storage,,water+AF8-supply,false,,,reservoir+AF8-storage,1,3,1,1,
24,S+AF8-ECHOL,Echo Lake Storage,Echo Lake storage,22,ECHOL,storage,,water+AF8-supply,false,,,reservoir+AF8-storage,1,3,1,1,
25,S+AF8-ELENR,Eleanor Lake Storage,Eleanor Lake storage,87,ELENR,storage,,water+AF8-supply,false,,,reservoir+AF8-storage,1,3,1,1,
26,S+AF8-ENGLB,Englebright Storage,Englebright Lake storage,23,ENGLB,storage,,flood+AF8-control,false,,,reservoir+AF8-storage,1,3,1,1,
27,S+AF8-EPARK,East Park Storage,East Park Reservoir storage,24,EPARK,storage,,water+AF8-supply,false,,,reservoir+AF8-storage,1,3,1,1,
28,S+AF8-ESTMN,Eastman Lake Storage,Eastman Lake storage,25,ESTMN,storage,,flood+AF8-control,false,,,reservoir+AF8-storage,1,3,1,1,
