short+AF8-code,name,category,description,is+AF8-active,notes,operation+AF8-version+AF8-id,created+AF8-by,updated+AF8-by
min+AF8-flow,Minimum flow requirements,minimum+AF8-flow,Enforce baseline tributary minimum flows.,1,,1,1,
funct+AF8-flow,Functional flow requirements,minimum+AF8-flow,Mimic natural seasonal flow patterns to sustain ecosystem functions.,1,,1,1,
mod+AF8-funct+AF8-flow+AF8-salmon,Modified functional flow requirements for salmon,minimum+AF8-flow,Add seasonal high flow pulses to support salmon migration and spawning.,1,,1,1,
reduce+AF8-gw+AF8-SJV,Reduced groundwater pumping in the San Joaquin Valley,gw+AF8-pumping,,1,,1,1,
reduce+AF8-gw+AF8-Sac,Reduced groundwater pumping in the Sacramento Valley,gw+AF8-pumping,,1,,1,1,
reduce+AF8-irr+AF8-SJV,Reduced irrigated agricultural land in the San Joaquin Valley,ag+AF8-delivery,,1,,1,1,
reduce+AF8-irr+AF8-Sac,Reduced irrigated agricultural land in the Sacramento Valley,ag+AF8-delivery,,1,,1,1,
comm+AF8-delivery+AF8-HHS,Prioritize deliveries for minimum human health +ACY- safety,comm+AF8-delivery,,1,,1,1,
comm+AF8-delivery+AF8-functional,Prioritize deliveries for functional community needs,comm+AF8-delivery,,1,,1,1,
comm+AF8-delivery+AF8-full,Prioritize full community water demands,comm+AF8-delivery,,1,,1,1,
delta+AF8-outflow+AF8-35,Modified Delta outflow requirements at 35+ACU- of unimpaired flow,delta+AF8-outflow,+ACI-35+ACU- of unimpaired flow, reduction from current baseline+ACI-,1,,1,1,
delta+AF8-outflow+AF8-45,+ACI-Current Baseline Delta outflow requirements, 45+ACU- of unimpaired flow+ACI-,delta+AF8-outflow,+ACI-approx. 45+ACU- of unimpaired flow, current baseline+ACI-,1,,1,1,
delta+AF8-outflow+AF8-55,Modified Delta outflow requirements at 55+ACU- of unimpaired flow,delta+AF8-outflow,+ACI-55+ACU- of unimpaired flow, increase from current baseline+ACI-,1,,1,1,
delta+AF8-outflow+AF8-65,Modified Delta outflow requirements at 65+ACU- of unimpaired flow,delta+AF8-outflow,+ACI-65+ACU- of unimpaired flow, increase from current baseline+ACI-,1,,1,1,
delta+AF8-outflow+AF8-75,Modified Delta outflow requirements at 75+ACU- of unimpaired flow,delta+AF8-outflow,+ACI-75+ACU- of unimpaired flow, increase from current baseline+ACI-,1,,1,1,
increase+AF8-Shasta+AF8-co,Increased Shasta Reservoir carry+AC0-over requirements,res+AF8-carryover,,1,,1,1,
delta+AF8-salinity+AF8-standards,Delta salinity standards,regulatory,,1,,1,1,
